iter	TotalF1	MultiClass
0	0.1005541792	1.944909824
1	0.108255726	1.94417368
2	0.1099688914	1.943498887
3	0.09492050257	1.942993358
4	0.101529111	1.942571216
5	0.1007613155	1.942257296
6	0.1001727458	1.941941819
7	0.1031004864	1.941703802
8	0.1035791917	1.941494934
9	0.09873811699	1.941342538
10	0.09970787689	1.941154441
11	0.1058400093	1.940992871
12	0.1099330546	1.940831211
13	0.1130344416	1.940731663
14	0.115415551	1.940575437
15	0.1167841263	1.940467149
16	0.11862131	1.940401358
17	0.1199594125	1.940284453
18	0.1210735721	1.940212664
19	0.1222856688	1.940153047
20	0.1218301513	1.940115201
21	0.1217410237	1.940043013
22	0.1221592017	1.939970244
23	0.1220719081	1.939932083
24	0.1220439532	1.939869058
25	0.1229245106	1.939816914
26	0.1239655496	1.939725908
27	0.1241540217	1.939657152
28	0.1245210617	1.939571195
29	0.1260613302	1.939497199
30	0.1262697961	1.939443911
31	0.1264031103	1.939352535
32	0.1266435316	1.939327017
33	0.1265538278	1.93927217
34	0.1274674663	1.939180595
35	0.1276725369	1.939150649
36	0.1276957049	1.939093265
37	0.1282434077	1.939051646
38	0.1288907433	1.939018949
39	0.1298110314	1.938977108
40	0.130493485	1.938937697
41	0.1314200534	1.938912687
42	0.1321408266	1.938840866
43	0.1323632762	1.93881626
44	0.1331671454	1.938758365
45	0.1335206906	1.938713239
46	0.1345656609	1.938633965
47	0.1348170776	1.938579696
48	0.1356693384	1.938502544
49	0.1362262754	1.93842917
50	0.1364646963	1.938391953
51	0.136981686	1.938358705
52	0.1375196399	1.938336903
53	0.1376255258	1.938270267
54	0.1378579956	1.938233983
55	0.1380746907	1.938215635
56	0.1388227549	1.938176052
57	0.1387601939	1.938152498
58	0.1386496485	1.938145561
59	0.1386705072	1.938124549
60	0.1392370662	1.938083014
61	0.139239646	1.938076317
62	0.1399788032	1.93804949
63	0.1403441746	1.937990491
64	0.1412262716	1.937970528
65	0.1412206744	1.937967129
66	0.1411569436	1.937937638
67	0.1417153471	1.937883275
68	0.1420120858	1.937864083
69	0.1418845283	1.937856093
70	0.1424195299	1.937829135
71	0.142564807	1.937798046
72	0.1431632224	1.937736867
73	0.1433880842	1.937726202
74	0.1438385224	1.937672893
75	0.1442921136	1.937646079
76	0.1444416691	1.937630424
77	0.1447151984	1.937583521
78	0.1448312756	1.937569326
79	0.1448396241	1.93754441
80	0.1452100208	1.937532234
81	0.1459062432	1.937490127
82	0.1459993585	1.937475212
83	0.146127655	1.937459675
84	0.1461547533	1.937438003
85	0.1463667818	1.937414992
86	0.1462823732	1.937399533
87	0.1468161619	1.937326176
88	0.1468613616	1.937311438
89	0.1469189709	1.93729445
90	0.1470175811	1.937285757
91	0.1472488554	1.937261582
92	0.1470596198	1.937250055
93	0.1470736025	1.937244933
94	0.147308434	1.93721346
95	0.1473694528	1.937207294
96	0.1473926253	1.937196143
97	0.1474295865	1.937162209
98	0.1477735492	1.937114573
99	0.1477842693	1.937113333
100	0.1479241243	1.93710986
101	0.1480641291	1.937088618
102	0.1481732265	1.937075459
103	0.148351577	1.937070317
104	0.1485735852	1.937031819
105	0.1488097148	1.937006037
106	0.1489767785	1.936958215
107	0.1488364741	1.936944469
108	0.1487075302	1.936902568
109	0.1488898881	1.936877013
110	0.1489105021	1.936862868
111	0.1490608917	1.936838176
112	0.1491981062	1.936813253
113	0.1496171016	1.936752856
114	0.1496903255	1.936716455
115	0.1501392584	1.936666925
116	0.1501936697	1.936632714
117	0.1501415316	1.936595292
118	0.1502336884	1.936579897
119	0.1505926152	1.93656179
120	0.1508017899	1.936538517
121	0.1507822871	1.936524254
122	0.150829752	1.936516528
123	0.1507920907	1.936503486
124	0.1511117938	1.936462401
125	0.1512005238	1.936449981
126	0.1512232708	1.936441341
127	0.1513566125	1.936401054
128	0.1514353138	1.936338315
129	0.1516880587	1.936286407
130	0.1517054888	1.936276715
131	0.152196091	1.936231927
132	0.1522548132	1.936184261
133	0.1522257328	1.936133149
134	0.1523322567	1.936090627
135	0.1526988995	1.936038955
136	0.1529040198	1.93600082
137	0.1532869027	1.935924527
138	0.1534426755	1.935871211
139	0.1536429845	1.935822976
140	0.1536385439	1.935766199
141	0.1539294781	1.935729508
142	0.1541405997	1.935674217
143	0.154797644	1.935599551
144	0.1550690735	1.935538182
145	0.1552373873	1.935498001
146	0.1553694907	1.935437842
147	0.1556402262	1.935385752
148	0.1561124677	1.935321604
149	0.156257829	1.935267955
150	0.1565200964	1.935216681
151	0.1569125679	1.935147152
152	0.1568237664	1.935093225
153	0.156909063	1.935049256
154	0.1569657988	1.934996577
155	0.1571287121	1.934938584
156	0.1574199582	1.9348819
157	0.1575613131	1.934834785
158	0.1579153003	1.934779745
159	0.1582621429	1.934734107
160	0.1582714591	1.93468595
161	0.1584156783	1.934641343
162	0.1587371148	1.934582637
163	0.1588626571	1.93452321
164	0.1592714017	1.934448143
165	0.1594028283	1.934410656
166	0.1596228815	1.93436676
167	0.1598189248	1.934316687
168	0.1601900435	1.934259688
169	0.1602011491	1.934210972
170	0.1601051928	1.934157857
171	0.1603703185	1.934114751
172	0.1604820631	1.934066371
173	0.1606282823	1.93402151
174	0.1608302232	1.933975707
175	0.161028188	1.933933349
176	0.1611749166	1.933884049
177	0.1612464748	1.9338372
178	0.1613070978	1.933798294
179	0.1615516149	1.933756367
180	0.1615988954	1.933701638
181	0.1617914096	1.933667798
182	0.1620382434	1.933617198
183	0.1621362809	1.933573771
184	0.1622391417	1.933530333
185	0.1623284692	1.933487816
186	0.1625087352	1.933448013
187	0.1626834386	1.933413105
188	0.162725864	1.933371456
189	0.1630619123	1.933317068
190	0.1634226529	1.933265305
191	0.1634591465	1.933230034
192	0.1637504685	1.933192341
193	0.1640355666	1.933142021
194	0.1641236183	1.933092165
195	0.1642995213	1.933045132
196	0.164335003	1.933010428
197	0.1643923301	1.932962376
198	0.1645379882	1.932933898
199	0.1646062364	1.932898242
200	0.1647334582	1.932865798
201	0.1648132662	1.932824457
202	0.1649759615	1.932798088
203	0.1651458581	1.93274896
204	0.1650588264	1.932701555
205	0.1652370098	1.932656778
206	0.1653035295	1.932649101
207	0.1654563423	1.93261509
208	0.1655291735	1.932577972
209	0.1655852128	1.932550337
210	0.1657237517	1.932510068
211	0.1658613916	1.932468867
212	0.165862065	1.932466871
213	0.1659847526	1.932430668
214	0.1661581147	1.932384596
215	0.1663923572	1.93233155
216	0.1664861613	1.932290526
217	0.1664658025	1.932278241
218	0.1665247026	1.932244568
219	0.1667046692	1.932208031
220	0.1669414485	1.93216314
221	0.167053078	1.932117807
222	0.1671819615	1.932088633
223	0.1671699005	1.932049833
224	0.1672588778	1.932005226
225	0.1674233439	1.93195618
226	0.1674950576	1.931922978
227	0.167585674	1.931881482
228	0.1677264887	1.931841439
229	0.1678662132	1.931794372
230	0.1679322082	1.931747925
231	0.1682311906	1.931715885
232	0.1683142745	1.931691168
233	0.1684060993	1.931676722
234	0.1682987988	1.93163008
235	0.1684326237	1.931586096
236	0.1685694465	1.931548811
237	0.1688588015	1.931501748
238	0.1689258576	1.931468895
239	0.168933224	1.931457106
240	0.1690666084	1.931421898
241	0.169187797	1.931375997
242	0.1693585287	1.931342515
243	0.1693905453	1.931329993
244	0.1695637417	1.931285764
245	0.1696581145	1.931256307
246	0.1697483033	1.931231082
247	0.1697429176	1.931229691
248	0.1698238036	1.931208672
249	0.1699632165	1.931166211
250	0.1698885072	1.931137637
251	0.1698295802	1.931136062
252	0.1698106109	1.931130232
253	0.1699222773	1.931094863
254	0.1701040872	1.931071415
255	0.1702682856	1.931039232
256	0.1703960368	1.931017966
257	0.1704245854	1.930985466
258	0.1706100588	1.930947692
259	0.1707319195	1.930924256
260	0.1708808882	1.930884372
261	0.1708299975	1.930850323
262	0.1708879474	1.930837551
263	0.1710991719	1.93080639
264	0.1710413559	1.93079377
265	0.1710851927	1.930781851
266	0.1710898898	1.930761917
267	0.1711024961	1.930730643
268	0.1712042247	1.930711387
269	0.1713396544	1.930700372
270	0.1714131776	1.930680108
271	0.171512677	1.930658002
272	0.1714338368	1.930645199
273	0.1715358309	1.930609073
274	0.1715628167	1.930589028
275	0.1716877789	1.930559336
276	0.1719121135	1.930545396
277	0.171878394	1.930529918
278	0.1718526144	1.930500987
279	0.1718465995	1.930471433
280	0.1719681826	1.930451997
281	0.1719642314	1.93043428
282	0.1720312146	1.930400733
283	0.1720837147	1.930359422
284	0.1722732263	1.930317664
285	0.1722068328	1.930303638
286	0.172314316	1.930270054
287	0.1723260916	1.930264518
288	0.1722933018	1.930251891
289	0.1725137035	1.930215572
290	0.1725639283	1.930177977
291	0.1725549038	1.9301612
292	0.1725760518	1.930156353
293	0.1726816073	1.930128074
294	0.1727271639	1.93009014
295	0.1727415007	1.930060953
296	0.1727979941	1.930026429
297	0.1728027256	1.930003985
298	0.1729058111	1.929966218
299	0.1728892594	1.929929428
300	0.1730159925	1.929901168
301	0.1730762991	1.929861761
302	0.1730823761	1.929829358
303	0.1730748205	1.929813374
304	0.1730825365	1.929807816
305	0.1731677344	1.929778602
306	0.1731693456	1.929777498
307	0.1731803654	1.92977213
308	0.1732890562	1.929754407
309	0.173258547	1.929728332
310	0.1733042865	1.929693258
311	0.1733113964	1.929689393
312	0.1733935515	1.929668196
313	0.173344857	1.929649377
314	0.1734539268	1.929617366
315	0.1734465822	1.929588373
316	0.1734973835	1.929582248
317	0.1735352978	1.929569038
318	0.1734211204	1.929548957
319	0.1734660804	1.929542716
320	0.1735437381	1.929521522
321	0.1737755388	1.929495374
322	0.1736891843	1.929482123
323	0.1736385405	1.929473325
324	0.1737674439	1.929458958
325	0.1737760331	1.929456269
