iter	Passed	Remaining
0	2119	2117640
1	4057	2024474
2	5154	1713061
3	6308	1570732
4	8024	1596836
5	9729	1611835
6	11540	1637124
7	12943	1605035
8	14342	1579273
9	14657	1451121
10	16264	1462337
11	18226	1500663
12	19802	1503443
13	20407	1437259
14	21166	1389929
15	22801	1402286
16	23092	1335301
17	24598	1341986
18	26415	1363860
19	26755	1310997
20	28403	1324121
21	30112	1338637
22	32032	1360680
23	34022	1383591
24	35751	1394304
25	37788	1415611
26	38080	1372317
27	39016	1354431
28	40928	1370391
29	42610	1377749
30	43830	1370050
31	45536	1377469
32	47220	1383690
33	49107	1395230
34	50846	1401919
35	52702	1411245
36	54503	1418568
37	56299	1425275
38	57954	1428058
39	58607	1406576
40	60288	1410169
41	61883	1411536
42	63751	1418846
43	65515	1423475
44	67478	1432048
45	68390	1418365
46	69885	1417040
47	71759	1423224
48	73477	1426071
49	75126	1427407
50	76807	1429225
51	78540	1431847
52	80457	1437609
53	82289	1441597
54	83949	1442408
55	85936	1448650
56	87795	1452470
57	89808	1458617
58	91333	1456696
59	93133	1459087
60	95140	1464542
61	96295	1456852
62	97621	1451927
63	99259	1451668
64	100856	1450775
65	101518	1436645
66	102655	1429515
67	103200	1414457
68	104927	1415757
69	106633	1416702
70	108197	1415712
71	109895	1416430
72	111803	1419749
73	113753	1423455
74	114305	1409769
75	115898	1409078
76	117799	1412058
77	118645	1402448
78	120283	1402289
79	121742	1400037
80	123638	1402759
81	125288	1402620
82	126833	1401282
83	127484	1390186
84	129033	1389004
85	130971	1391953
86	131609	1381145
87	133604	1384630
88	134489	1376628
89	136028	1375401
90	137923	1377723
91	139591	1377707
92	141631	1381283
93	143624	1384291
94	145819	1389127
95	147775	1391554
96	149822	1394737
97	151547	1394858
98	153388	1395986
99	154381	1389430
100	155876	1387455
101	157735	1388695
102	159508	1389118
103	161419	1390688
104	163035	1389687
105	164841	1390264
106	166642	1390763
107	167704	1385115
108	169106	1382330
109	171013	1383652
110	172762	1383653
111	174605	1384371
112	176670	1386784
113	178297	1385716
114	180421	1388462
115	182434	1390276
116	184243	1390484
117	186051	1390655
118	187917	1391222
119	189816	1391990
120	191796	1393301
121	193800	1394727
122	195849	1396424
123	197579	1395800
124	199584	1397088
125	201724	1399263
126	203749	1400577
127	206188	1404661
128	208151	1405424
129	210068	1405845
130	212085	1406890
131	214183	1408417
132	216123	1408862
133	218133	1409728
134	220071	1410085
135	221990	1410289
136	223970	1410851
137	225973	1411512
138	227883	1411568
139	229892	1412197
140	231799	1412168
141	233736	1412292
142	235901	1413759
143	237924	1414331
144	239795	1413968
145	241737	1413995
146	243791	1414655
147	245774	1414866
148	247776	1415155
149	249652	1414694
150	251656	1414941
151	253654	1415123
152	255598	1414978
153	257512	1414645
154	259465	1414506
155	261351	1413977
156	263483	1414754
157	265726	1416088
158	267685	1415870
159	269653	1415680
160	271570	1415200
161	273627	1415429
162	275520	1414789
163	277471	1414425
164	279543	1414658
165	281506	1414316
166	283520	1414205
167	285401	1413419
168	287388	1413135
169	289389	1412899
170	291385	1412621
171	293386	1412350
172	295371	1411977
173	297399	1411793
174	299479	1411831
175	301404	1411120
176	303313	1410322
177	305384	1410257
178	307376	1409809
179	309415	1409558
180	311301	1408595
181	313268	1407985
182	315228	1407331
183	317101	1406275
184	319066	1405616
185	321034	1404958
186	322891	1403799
187	324892	1403258
188	327021	1403251
189	329111	1403055
190	331537	1404261
191	333538	1403640
192	335610	1403305
193	337585	1402544
194	339778	1402674
195	341866	1402350
196	343774	1401271
197	345730	1400381
198	347717	1399607
199	349844	1399377
200	351883	1398782
201	353849	1397880
202	355813	1396963
203	357986	1396849
204	359947	1395894
205	361920	1394975
206	363994	1394432
207	366093	1393971
208	368085	1393088
209	370080	1392207
210	372108	1391438
211	373992	1390122
212	375996	1389246
213	378030	1388468
214	379968	1387327
215	382111	1386924
216	384020	1385659
217	386082	1384939
218	388256	1384602
219	390211	1383475
220	392151	1382291
221	394119	1381194
222	396065	1380013
223	398058	1378987
224	400099	1378122
225	402109	1377135
226	404132	1376188
227	406149	1375207
228	408173	1374242
229	410439	1374078
230	412402	1372889
231	414209	1371175
232	416245	1370216
233	418157	1368841
234	420140	1367692
235	422066	1366349
236	424132	1365455
237	426192	1364532
238	428106	1363134
239	430035	1361780
240	432036	1360646
241	434087	1359664
242	435996	1358229
243	437631	1355941
244	439531	1354474
245	441421	1352975
246	443392	1351717
247	445589	1351143
248	447590	1349962
249	449492	1348478
250	451461	1347189
251	453412	1345843
252	455507	1344918
253	457556	1343848
254	459272	1341795
255	461405	1340959
256	463207	1339156
257	465143	1337738
258	467121	1336437
259	469111	1335162
260	470609	1332490
261	472597	1331210
262	474546	1329813
263	476494	1328410
264	478490	1327134
265	480581	1326115
266	482525	1324686
267	484270	1322708
268	485922	1320481
269	487912	1319170
270	489767	1317492
271	491809	1316313
272	493845	1315112
273	495661	1313323
274	497201	1310804
275	499077	1309174
276	500694	1306866
277	502672	1305500
278	504525	1303809
279	506522	1302486
280	508710	1301646
281	510782	1300502
282	512646	1298825
283	514530	1297195
284	516375	1295468
285	518171	1293616
286	519794	1291336
287	521560	1289414
288	523594	1288150
289	525159	1285734
290	526501	1282781
291	528343	1281051
292	530137	1279205
293	532209	1278026
294	534189	1276622
295	536260	1275431
296	538263	1274070
297	540211	1272579
298	542075	1270887
299	544158	1269703
300	545712	1267286
301	547678	1265825
302	549093	1263095
303	550641	1260678
304	552077	1258012
305	553579	1255504
306	555621	1254220
307	556978	1251393
308	558771	1249549
309	560183	1246860
310	562339	1245826
311	564281	1244312
312	566254	1242865
313	567844	1240577
314	570093	1239727
315	572050	1238236
316	574167	1237087
317	576203	1235757
318	578107	1234141
319	580124	1232763
320	582129	1231358
321	584067	1229806
322	585944	1228124
323	587684	1226157
324	588973	1223251
325	590330	1220498
326	591587	1217549
327	593563	1216081
328	595766	1215073
329	597730	1213573
330	599822	1212330
331	601734	1210718
332	603552	1208916
333	605586	1207546
334	607557	1206046
335	608873	1203249
336	610910	1201880
337	612759	1200137
338	614785	1198741
339	616357	1196459
340	618180	1194666
341	620334	1193508
342	622592	1192545
343	624420	1190755
344	626387	1189228
345	628302	1187601
346	630361	1186242
347	631696	1183523
348	633082	1180907
349	634866	1179038
350	636807	1177458
351	638713	1175812
352	640120	1173251
353	642013	1171584
354	643837	1169788
355	645665	1168001
356	646993	1165314
357	649121	1164067
358	651005	1162380
359	653048	1160975
360	654847	1159134
361	656939	1157810
362	658907	1156264
363	660366	1153827
364	662271	1152171
365	664365	1150841
366	666278	1149194
367	668008	1147232
368	670016	1145745
369	671342	1143096
370	672782	1140646
371	674617	1138870
372	676588	1137322
373	678396	1135498
374	680398	1133998
375	682389	1132476
376	684226	1130698
377	686274	1129266
378	688008	1127317
379	689976	1125750
380	691913	1124132
381	693828	1122476
382	695863	1121012
383	697437	1118805
384	699286	1117042
385	701101	1115223
386	702666	1113008
387	704549	1111299
388	706462	1109637
389	708141	1107606
390	709917	1105728
391	711658	1103796
392	713613	1102197
393	715596	1100638
394	717520	1098987
395	718861	1096445
396	720797	1094812
397	722718	1093156
398	724731	1091638
399	726737	1090105
400	728321	1087941
401	730269	1086320
402	731970	1084334
403	734119	1083007
404	736237	1081633
405	738254	1080106
406	740112	1078345
407	741583	1076023
408	743407	1074214
409	744915	1071951
410	746789	1070216
411	749029	1069003
412	751082	1067519
413	752710	1065430
414	754625	1063748
415	756018	1061333
416	758008	1059757
417	759917	1058066
418	761887	1056460
419	763888	1054893
420	765755	1053140
421	767657	1051436
422	769588	1049769
423	771349	1047870
424	772661	1045366
425	774229	1043210
426	775965	1041284
427	777951	1039691
428	779864	1038001
429	781416	1035831
430	783396	1034228
431	784955	1032071
432	786713	1030176
433	788238	1027979
434	790158	1026297
435	792150	1024707
436	794135	1023107
437	796149	1021543
438	798050	1019831
439	800016	1018203
440	802046	1016653
441	804136	1015177
442	806049	1013475
443	807816	1011589
444	809861	1010051
445	811399	1007882
446	813073	1005883
447	814985	1004178
448	816904	1002482
449	818921	1000903
450	820835	999199
451	822830	997590
452	824425	995498
453	826173	993592
454	827582	991279
455	829246	989276
456	830660	986977
457	832577	985277
458	834524	983611
459	836555	982043
460	838065	979863
461	839823	977976
462	841789	976329
463	843305	974163
464	844791	971964
465	846716	970272
466	848643	968579
467	850417	966713
468	852532	965234
469	854521	963609
470	856205	961640
471	857972	959765
472	859919	958092
473	861899	956453
474	863434	954322
475	865180	952425
476	866653	950230
477	868604	948560
478	870514	946843
479	871922	944582
480	873918	942960
481	875533	940925
482	876965	938698
483	879083	937204
484	880728	935206
485	882661	933514
486	884512	931734
487	886256	929842
488	888149	928106
489	890169	926502
490	892074	924777
491	894051	923125
492	895676	921112
493	897567	919370
494	899487	917658
495	901125	915659
496	902882	913782
497	904849	912116
498	906782	910417
499	908847	908847
500	910881	907245
501	912879	905605
502	914821	903908
503	916818	902265
504	918322	900138
505	920306	898480
506	922194	896729
507	924173	895066
508	925491	892762
509	927276	890913
510	928920	888928
511	930693	887067
512	932597	885331
513	934667	883752
514	936758	882190
515	938748	880531
516	940427	878580
517	942365	876873
518	944336	875193
519	946356	873559
520	948405	871950
521	950209	870114
522	951738	868028
523	953214	865896
524	954679	863757
525	956654	862080
526	958574	860352
527	960515	858643
528	962602	857061
529	964644	855439
530	966635	853770
531	968534	852019
532	969936	849831
533	972270	848460
534	974065	846617
535	975977	844875
536	977448	842753
537	979223	840894
538	980874	838929
539	982825	837222
540	984795	835528
541	986342	833477
542	988603	832029
543	990651	830399
544	992630	828709
545	994357	826809
546	995837	824706
547	997868	823059
548	999860	821379
549	1001830	819679
550	1003798	817977
551	1005568	816113
552	1007589	814453
553	1009549	812741
554	1011432	810968
555	1013299	809181
556	1015274	807480
557	1017200	805739
558	1018822	803758
559	1020769	802033
560	1022865	800424
561	1024751	798649
562	1026722	796941
563	1028649	795197
564	1030482	793380
565	1031856	791211
566	1033412	789184
567	1035418	787501
568	1037405	785802
569	1039790	784403
570	1041738	782672
571	1043489	780793
572	1045373	779012
573	1047348	777300
574	1049477	775701
575	1051491	774014
576	1052881	771869
577	1054462	769866
578	1056482	768184
579	1058170	766261
580	1060196	764582
581	1062205	762890
582	1063704	760831
583	1065220	758787
584	1067176	757056
585	1069053	755269
586	1071151	753637
587	1073215	751980
588	1075031	750149
589	1076718	748228
590	1078051	746062
591	1080021	744339
592	1082039	742647
593	1084047	740948
594	1085688	738997
595	1087675	737283
596	1089585	735516
597	1091333	733639
598	1093309	731914
599	1094904	729936
600	1096850	728192
601	1098770	726429
602	1100712	724681
603	1102625	722913
604	1104522	721134
605	1105939	719042
606	1107479	717033
607	1109236	715165
608	1111137	713390
609	1113263	711758
610	1114984	709867
611	1117091	708221
612	1118996	706446
613	1120767	704586
614	1122708	702833
615	1124639	701074
616	1126635	699353
617	1128593	697609
618	1130487	695824
619	1132290	693984
620	1134311	692276
621	1136294	690545
622	1138354	688860
623	1140008	686928
624	1142020	685212
625	1143997	683474
626	1145881	681680
627	1147818	679917
628	1149555	678036
629	1151570	676319
630	1153179	674363
631	1154863	672452
632	1156765	670668
633	1158888	669011
634	1160888	667282
635	1162743	665469
636	1164550	663629
637	1166513	661877
638	1168511	660144
639	1170325	658307
640	1172204	656507
641	1174057	654692
642	1176092	652978
643	1177589	650965
644	1179522	649194
645	1181411	647399
646	1183112	645500
647	1184789	643589
648	1186501	641698
649	1188243	639823
650	1190052	637985
651	1192062	636254
652	1193900	634430
653	1195875	632680
654	1197826	630916
655	1199535	629024
656	1201589	627314
657	1203606	625582
658	1205514	623794
659	1207512	622052
660	1209497	620302
661	1211533	618577
662	1213401	616766
663	1215340	614991
664	1217313	613233
665	1219445	611553
666	1221284	609726
667	1223274	607974
668	1224761	605973
669	1226095	603897
670	1228199	602201
671	1230322	600514
672	1232283	598746
673	1234171	596943
674	1236146	595181
675	1237777	593254
676	1239709	591471
677	1241584	589661
678	1243606	587919
679	1245332	586038
680	1247355	584297
681	1248899	582331
682	1250201	580254
683	1252245	578522
684	1254219	576757
685	1255885	574851
686	1257842	573078
687	1259696	571257
688	1261524	569425
689	1263065	567464
690	1265053	565704
691	1266839	563853
692	1268575	561980
693	1270102	560016
694	1271601	558040
695	1273159	556092
696	1275097	554310
697	1276764	552410
698	1278766	550656
699	1280841	548931
700	1282734	547129
701	1284845	545418
702	1286751	543620
703	1288766	541867
704	1290748	540100
705	1292630	538290
706	1294445	536453
707	1295970	534496
708	1297768	532652
709	1299788	530899
710	1301705	529103
711	1303446	527236
712	1305181	525367
713	1307159	523595
714	1309162	521834
715	1311124	520054
716	1313099	518280
717	1315071	516504
718	1316599	514554
719	1318368	512699
720	1320441	510961
721	1322439	509194
722	1324184	507329
723	1326065	505516
724	1328190	503796
725	1329734	501855
726	1331495	499997
727	1333367	498181
728	1335391	496421
729	1337331	494629
730	1339178	492802
731	1341138	491017
732	1343021	489204
733	1344572	487270
734	1346447	485453
735	1348090	483554
736	1350236	481834
737	1352276	480076
738	1354413	478351
739	1356238	476516
740	1357872	474614
741	1359900	472849
742	1361721	471012
743	1363640	469209
744	1365159	467269
745	1367119	465480
746	1369112	463702
747	1371028	461897
748	1373114	460149
749	1375019	458339
750	1376839	456502
751	1378936	454755
752	1380844	452946
753	1382420	451028
754	1384216	449182
755	1385758	447255
756	1387727	445466
757	1389527	443622
758	1391554	441850
759	1393142	439939
760	1394701	438020
761	1396560	436195
762	1398553	434413
763	1400027	432469
764	1401954	430665
765	1403983	428893
766	1405243	426886
767	1406765	424960
768	1408757	423176
769	1410768	421398
770	1412823	419632
771	1414448	417738
772	1415924	415801
773	1417752	413969
774	1419766	412190
775	1421677	410381
776	1423688	408600
777	1425596	406789
778	1427484	404973
779	1429386	403160
780	1431242	401334
781	1433164	399526
782	1435208	397752
783	1437184	395958
784	1439093	394146
785	1441137	392370
786	1442949	390531
787	1444697	388674
788	1446740	386897
789	1448678	385091
790	1450632	383289
791	1452592	381488
792	1454478	379668
793	1456337	377840
794	1458120	375993
795	1460093	374194
796	1462055	372393
797	1463925	370567
798	1465935	368777
799	1467860	366965
800	1469792	365154
801	1471802	363362
802	1473529	361500
803	1475426	359680
804	1477349	357867
805	1478903	355964
806	1481110	354218
807	1483323	352472
808	1485338	350679
809	1486928	348785
810	1488809	346960
811	1490688	345134
812	1492812	343365
813	1494918	341590
814	1496790	339762
815	1498731	337949
816	1500698	336141
817	1502553	334309
818	1504522	332501
819	1506581	330713
820	1508382	328867
821	1510402	327070
822	1512156	325214
823	1514083	323396
824	1515578	321486
825	1517497	319666
826	1519539	317872
827	1521314	316021
828	1523232	314201
829	1525194	312389
830	1527185	310582
831	1529115	308763
832	1531232	306981
833	1533219	305173
834	1535332	303389
835	1537290	301573
836	1539336	299775
837	1541114	297924
838	1543069	296107
839	1545034	294292
840	1547057	292487
841	1548713	290613
842	1550318	288730
843	1552309	286919
844	1554030	285058
845	1555964	283237
846	1558013	281435
847	1559653	279560
848	1561681	277754
849	1563637	275936
850	1565273	274060
851	1566912	272186
852	1568954	270382
853	1571017	268581
854	1572652	266707
855	1574646	264893
856	1576608	263074
857	1578466	261237
858	1580523	259433
859	1582412	257601
860	1584361	255779
861	1585765	253869
862	1587468	252008
863	1588980	250117
864	1590333	248202
865	1592134	246358
866	1593768	244488
867	1595461	242627
868	1597422	240808
869	1599449	238998
870	1601403	237176
871	1603471	235371
872	1605408	233547
873	1607382	231727
874	1609278	229896
875	1611209	228070
876	1612964	226219
877	1614885	224391
878	1616804	222563
879	1618726	220735
880	1620777	218924
881	1622783	217107
882	1624759	215285
883	1626435	213423
884	1628470	211609
885	1630378	209777
886	1631779	207881
887	1633406	206015
888	1635365	204190
889	1637344	202368
890	1638975	200503
891	1640963	198681
892	1642496	196805
893	1644311	194963
894	1646260	193136
895	1648263	191316
896	1649923	189456
897	1651687	187608
898	1653602	185777
899	1655746	183971
900	1657236	182093
901	1658870	180232
902	1660921	178415
903	1662614	176560
904	1664520	174728
905	1666490	172902
906	1667813	171010
907	1669820	169188
908	1671990	167383
909	1674035	165563
910	1675759	163713
911	1677148	161830
912	1679126	160004
913	1680690	158139
914	1682681	156314
915	1684767	154498
916	1686753	152672
917	1688715	150843
918	1690644	149012
919	1692242	147151
920	1694126	145315
921	1695680	143452
922	1697630	141622
923	1699610	139794
924	1701579	137965
925	1703142	136104
926	1705194	134281
927	1706587	132407
928	1708360	130563
929	1710568	128752
930	1712114	126891
931	1713973	125053
932	1715449	123188
933	1717200	121343
934	1719051	119506
935	1721089	117681
936	1722493	115813
937	1724045	113956
938	1726004	112125
939	1727957	110295
940	1729644	108447
941	1731600	106616
942	1733559	104785
943	1735470	102951
944	1737444	101121
945	1739409	99289
946	1741333	97455
947	1743387	95628
948	1745232	93790
949	1746973	91945
950	1749013	90117
951	1750739	88272
952	1752159	86412
953	1753730	84561
954	1755450	82717
955	1757363	80882
956	1759064	79038
957	1760733	77192
958	1762699	75360
959	1764824	73534
960	1766726	71698
961	1768672	69864
962	1770706	68033
963	1772865	66206
964	1774777	64370
965	1776305	62520
966	1777661	60664
967	1779703	58833
968	1781874	57005
969	1783369	55155
970	1785437	53324
971	1787350	51487
972	1789313	49652
973	1791337	47818
974	1793229	45980
975	1795242	44145
976	1797200	42308
977	1798832	40464
978	1800697	38625
979	1802640	36788
980	1804483	34949
981	1806454	33112
982	1808389	31274
983	1810307	29435
984	1812441	27600
985	1814203	25759
986	1816251	23922
987	1818090	22082
988	1819521	20237
989	1821371	18397
990	1823463	16560
991	1825399	14720
992	1827406	12882
993	1829367	11042
994	1831368	9202
995	1832792	7360
996	1834766	5520
997	1836273	3679
998	1838315	1840
999	1840241	0
